ID,Initial,Adjusted
Keq_G3PD5,3097851703.24368,3001949.9107943154
Keq_HCO3E,23.5279700376351,23.5279700376351
Keq_CS,4465331.09554487,4465331.095544868
Keq_ICDHyr,0.728843143612651,3.2856340435317923
Keq_ACALD,8884.66399161977,112.9092815834507
Keq_PPA,198.662460800317,198.66246080031698
Keq_PPCK,0.0543637068265571,12.14228039400955
Keq_ME1,0.0375200498850675,0.0080127095513935
Keq_FBP,64.7564248135061,64.75642481350609
Keq_PYK,17602.3075551322,17602.307555132193
Keq_ENO,6.69595445004576,6.695954450045759
Keq_FBA,0.000102655585154476,0.0001852789142238987
Keq_PPS,2.20978736534949,2.20978736534949
Keq_PGI,0.372679858995012,0.4056431534279425
Keq_PGK,0.000670855296239381,0.000670855296239381
Keq_PGL,35988.5108702394,35988.51087023943
Keq_RPE,1.97953430944596,3.2642965134429454
Keq_TALA,0.814682209519973,0.814682209519973
Keq_TKT1,2.58977591206479,2.9881157475891937
Keq_ALCD2x,0.00047918852063051,3.7561293394963084e-05
Keq_PFL,18419.0017555159,18419.00175551591
Keq_POX,2.50712890367424e+26,7927668532514902.0
Keq_PTAr,0.0208296640884163,0.02675021818729155
Keq_ACKr,0.00395381628765649,6.609122306607506e-06
Keq_MDH,3.9208907441174e-05,8.86366348359769e-05
Keq_FUM,3.86374922528193,7.601189959767388
Keq_OAADC,956.926688883166,245.73138195711923
Keq_ICL,0.0892541956006806,0.08925419560068058
Keq_PPC,1217773.86132352,1217773.8613235196
Keq_CAT,1.39398639449556e+32,1.3490832732066804e+19
Keq_PGMT,21.7678135962045,10.872358264417302
Keq_NADTRHD,1.16993970795731,1.16993970795731
Keq_MALS,2375.47473377906,2375.47473377906
Keq_G3PD2,9.64076584170385e-05,0.019592685491883345
Keq_AKGDH,7590.62769075789,8693.789016025295
Keq_GAPD,0.627040513732603,0.627040513732603
Keq_GND,0.0500667279538518,0.17255315370661295
Keq_ME2,0.0320700713292112,0.038625155679917686
Keq_SPODM,166776.825112053,166776.82511205308
Keq_MDH2,1076887534.37411,1076887534.3741093
Keq_G6PDH2r,15.6636690009249,15.663669000924898
Keq_NADH5,27465379798959.8,738584716.8666279
Keq_SPODMpp,166776.825112053,12631.253599796806
Keq_PYRt2rpp,1.0,0.07609925810123895
Keq_THD2pp,30473.9266039982,0.0114921639368432
Keq_AKGt2rpp,0.00529607407388643,0.006217073460987778
Keq_TKT2,28.1023204816456,28.102320481645595
Keq_CO2tpp,1.0,1.0
Keq_CYTBDpp,7.5894406368291e+19,0.0668255244808361
Keq_ACALDtpp,1.0,0.5452782410107772
Keq_ACt2rpp,1.0,1.0
Keq_ATPS4rpp,19200.3031854235,19200.3031854235
Keq_L_LACD2,2590488146.3547,2291432.7842571125
Keq_NADPHQR2,32132838346130.6,153217888.99423298
Keq_GLCptspp,52155672.9727793,52155672.972779326
Keq_ATPM,66202.7012807769,66202.70128077689
Keq_PDH,26172762.5477796,26172762.547779635
Keq_SUCOAS,2.05806424145597,2.05806424145597
Keq_PFK,1022.33409603115,1022.3340960311497
Keq_PGM,11.7965122413099,2.136409432204101
Keq_TPI,0.0872761430502513,0.08727614305025129
Keq_RPI,0.579698787384993,0.5273889034517656
Keq_LDH_D2,7368187626.89491,365213.23013852997
Keq_LDH_D,0.000268271827326922,0.0004944771016761796
Keq_D_LACt2pp,1.0,0.016461553180563186
Keq_CYTBO3_4pp,2128716712820430.0,2128716712820426.5
Keq_SUCDi,12419.8188933233,75199.88728757882
Keq_ACONTb,1.70264842796144,3.1225808655672473
Keq_ACONTa,0.0277730563779018,0.04330926079669728
Keq_NADH16pp,4079883.49181951,17247586961418.97
Keq_ETOHtrpp,1.0,0.42796807925953256
Keq_FDH4pp,1094654801214.91,1094654801214.9092
Keq_SUCCt1pp,2.8048400596092e-05,0.001829362686334301
